song_id,speechiness,instrumentalness,key,time signature,acousticness,danceability,energy,loudness,tempo,genre
2fkeWbM6iqTw7oGHTYm2lw,0.0393,0.0239,11,4,0.499,0.621,0.247,-12.291,111.974,sad
3KkXRkHbMCARz0aVfEt68P,0.0466,0.0,2,4,0.556,0.76,0.479,-5.574,89.911,sad
14JzyD6FlBD5z0wV5P07YI,0.0621,7.86e-05,1,3,0.979,0.498,0.104,-14.08,124.001,sad
2z3htsNRuhDN923ITatc56,0.0921,0.00178,9,5,0.646,0.492,0.26,-17.341,111.519,sad
3UxORWLWBMmpJiumQ0LNHu,0.0389,0.000556,11,4,0.345,0.57,0.689,-4.693,82.522,sad
7uqcLJFlSYjVPLUz1vPxkY,0.511,0.0,0,4,0.795,0.712,0.374,-10.215,133.952,sad
2dpaYNEQHiRxtZbfNsse99,0.0452,0.0,5,4,0.191,0.687,0.792,-2.749,100.015,sad
4NzMOnvSJVNKF7nw5NkXIP,0.332,0.162,8,4,0.74,0.905,0.389,-14.505,120.046,sad
2LskIZrCeLxRvCiGP8gxlh,0.0412,2.06e-06,9,4,0.0302,0.703,0.723,-5.45,104.969,sad
2DbFrz8xUz8ICEmQWlnhMg,0.0899,1.43e-06,10,4,0.559,0.666,0.75,-4.189,158.918,sad
7m9OqQk4RVRkw9JJdeAw96,0.242,4.13e-06,0,4,0.469,0.872,0.391,-9.144,134.021,sad
6nLe4O47GYOAdyS0okgrcV,0.0339,0.0,2,4,0.337,0.635,0.441,-10.59,142.942,sad
2KvHC9z14GSl4YpkNMX384,0.404,0.0,7,4,0.234,0.787,0.69,-6.206,171.029,sad
0mCMjlSkCS0vTEeMX74tcZ,0.12,6.22e-05,6,4,0.403,0.754,0.37,-9.854,114.941,sad
6Zc5f20q7sOe1IC1c1jQvZ,0.0747,0.0,6,4,0.351,0.742,0.515,-6.103,136.02,sad
3yAooTu5LcHEulRkk0r5g0,0.0473,0.00141,0,4,0.694,0.641,0.538,-9.506,135.146,sad
2MXxEGl4WdiOqUjhzDjCmh,0.375,0.0,7,4,0.797,0.841,0.403,-12.39,110.062,sad
7aueqhgxg2MQcN3ngqcb4g,0.359,0.0,1,4,0.741,0.599,0.722,-5.328,133.038,sad
5YAP8zpqj1eIX88makBjDe,0.154,0.0,8,4,0.166,0.613,0.6,-7.097,147.059,sad
0Dn40gxVCMo5TkgS8Ik18Q,0.0286,0.00294,4,4,0.0175,0.669,0.574,-6.442,120.013,sad
0b78tnQ4HNKeTA4Vfkz0IW,0.0302,0.000181,0,3,0.797,0.297,0.417,-6.389,130.098,sad
6bXSYxP6WDlNCr6Jk1H3MW,0.0942,0.0,1,4,0.0927,0.908,0.365,-9.954,119.977,sad
6rz0dTA0PdhXImFV5EjM0w,0.0752,0.0,5,4,0.0622,0.715,0.639,-5.017,149.996,sad
15BZSya96spKkQb4MAgmk7,0.166,0.0,0,4,0.023,0.629,0.469,-11.571,116.025,sad
5lar0mCUejpILVkAz50s2J,0.691,9.1e-05,9,3,0.564,0.492,0.712,-7.278,137.453,sad
5F2AuFzEiuAQD0JVNjVJQz,0.0576,5.91e-06,7,4,0.463,0.764,0.725,-8.812,100.063,sad
3H2JThgdBxezwj1wwafQS8,0.307,0.000335,0,4,0.0769,0.671,0.529,-7.226,161.989,sad
1SxagO9GK0UUeEYLmH8Pln,0.0629,1.95e-06,8,4,0.0555,0.728,0.517,-11.404,111.974,sad
3L19besdNQzd342qL78xqm,0.17,5.69e-06,2,4,0.0114,0.81,0.55,-7.46,76.503,sad
7gza9mETipz1YWiN7tOedL,0.324,0.0,7,4,0.734,0.531,0.549,-9.949,145.567,sad
13HVjjWUZFaWilh2QUJKsP,0.0288,1.65e-05,1,4,0.818,0.546,0.311,-10.396,147.464,sad
0RtdQ9hvvkdlIzHvfxdT2j,0.495,0.0,6,3,0.764,0.409,0.736,-5.686,185.114,sad
1RMJOxR6GRPsBHL8qeC2ux,0.0367,0.0,7,4,0.808,0.524,0.364,-10.209,75.24,sad
6gSw5vz7dcafda23VqMrnl,0.0827,0.0,9,4,0.162,0.59,0.498,-6.845,80.022,sad
0X8DcetL926BYiPJYstJTc,0.2,0.0,6,4,0.349,0.511,0.566,-7.23,83.903,sad
1Knctxx9vGZxpZfF66BIEa,0.0844,0.0,4,4,0.115,0.594,0.798,-5.244,142.049,sad
31CzDmNZhSA5WcGNaGTinq,0.122,3.22e-06,3,4,0.181,0.556,0.523,-7.3,154.892,sad
47A4a2ZxJaZz5nBME2HtXs,0.173,0.158,8,4,0.479,0.645,0.589,-6.171,89.971,sad
6QNFQJKlZUKr0xlGZ74CZJ,0.0798,0.0,10,4,0.0102,0.638,0.624,-5.37,159.937,sad
2815rSBccLxZc67jEWBEvD,0.129,0.236,1,4,0.624,0.672,0.59,-9.574,169.036,sad
4Pbg79cTBu4vgSphoyNq3j,0.117,0.0,1,4,0.0372,0.697,0.683,-2.881,96.133,happy
083Qf6hn6sFL6xiOHlZUyn,0.0409,0.0,7,4,0.0228,0.623,0.851,-3.111,100.063,happy
55S2PQgSMYAhgoTCcGCDfw,0.463,0.0,7,4,0.0169,0.596,0.854,-5.114,120.274,happy
01k24g94i1JvkFLQmVEdCd,0.0904,0.0,8,4,0.0615,0.647,0.853,-4.516,103.846,happy
2dpaYNEQHiRxtZbfNsse99,0.0452,0.0,5,4,0.191,0.687,0.792,-2.749,100.015,happy
4keoy2fqgwGnbWlm3ZVZFa,0.047,1.49e-06,4,3,0.579,0.503,0.741,-5.128,88.335,happy
5JEx7HbmvHQQswJCsoo9rA,0.0621,0.0,1,4,0.0969,0.574,0.758,-5.029,144.111,happy
15kQGEy89K8deJcZVFEn0N,0.0439,0.0,1,4,0.0558,0.575,0.571,-7.906,105.049,happy
1wsLHgXJ4SKIfd5ePSX1hD,0.036,0.0,7,4,0.293,0.652,0.897,-4.481,114.033,happy
4hQ6UGyWQIGJmHSo0J88JW,0.0486,1.68e-06,6,4,0.0945,0.601,0.724,-4.856,102.061,happy
4ofwffwvvnbSkrMSCKQDaC,0.0457,0.0,5,4,0.286,0.672,0.735,-4.733,115.741,happy
1wjzFQodRWrPcQ0AnYnvQ9,0.253,2.55e-06,9,4,0.535,0.752,0.505,-7.621,91.97,happy
2ARqIya5NAuvFVHSN3bL0m,0.058,0.0,7,4,0.208,0.748,0.652,-3.02,106.914,happy
3u1S1OmAUhx5DRlLrXqyp3,0.032,0.0,1,4,0.323,0.69,0.784,-4.653,106.066,happy
7haQE5nOcxwk0HXahP0aV3,0.0497,0.0,0,4,0.408,0.683,0.782,-2.989,100.954,happy
0HrS0I34NwbFLgDmX9ZLwT,0.031,0.0,5,4,0.243,0.697,0.521,-6.519,91.998,happy
2lYTJK94hb0fd1LQtb6Dhk,0.0477,0.0,4,4,0.118,0.659,0.738,-5.072,127.95,happy
7fa9MBXhVfQ8P8Df9OEbD8,0.0505,0.0,0,4,0.568,0.851,0.541,-6.825,124.959,happy
0CZ8lquoTX2Dkg7Ak2inwA,0.107,4.7e-06,4,4,0.648,0.6,0.535,-7.043,71.912,happy
5sPKBwjZV090di7qDXQfJp,0.0367,1.24e-05,7,4,0.00199,0.62,0.688,-7.421,89.033,happy
54l9GJGQ1UCFKe2tzt1Vxt,0.172,0.0,4,4,0.0829,0.607,0.74,-4.793,108.05,happy
0kHyKhJMukHEPfeh8s7rdM,0.0357,0.0,3,4,0.3,0.688,0.688,-5.84,114.011,happy
1rqqCSm0Qe4I9rUvWncaom,0.0618,0.0,5,4,0.193,0.579,0.904,-2.729,82.014,happy
2jZIfoe48eUeOEnP9Ho4h2,0.0435,0.0,1,4,0.123,0.703,0.748,-6.047,111.943,happy
6lD9nDl7jBUSIPDMAMZjuD,0.0357,1.99e-06,11,4,0.0162,0.717,0.872,-3.279,120.026,happy
3umkzHosXJRxujeCjIhRmU,0.0672,0.0,5,4,0.0914,0.656,0.514,-5.27,120.073,happy
3gFgp6Ofp808Kc2qLQiN5e,0.177,0.0,1,4,0.0901,0.707,0.674,-5.578,95.02,happy
1Co9NGodpCCvWuIfe0PzIS,0.0907,1.43e-05,5,4,0.327,0.748,0.551,-5.772,104.175,happy
5N4erncE7kuUccm7zEmwzk,0.0473,3.33e-06,0,4,0.0104,0.588,0.67,-6.439,118.159,happy
