song_id,speechiness,instrumentalness,key,time signature,acousticness,danceability,energy,loudness,tempo,genre
7evPpWWu01Klxi0KlPxR17,0.0903,0.0,11,4,0.133,0.568,0.686,-4.901,148.294,sad
62NVyyEBiRxGae3SeB97nl,0.0435,0.000135,0,4,0.521,0.453,0.441,-6.275,84.672,sad
0fBSs3fRoh1yJcne77fdu9,0.0348,1e-06,6,5,0.811,0.236,0.249,-9.595,72.847,sad
4Ouhoi2lAhrLJKFzUqEzwl,0.0339,8.22e-05,4,4,0.222,0.428,0.626,-6.639,86.02,sad
0o6bT5lLHPSHyz3QIriu6h,0.0694,0.0,1,4,0.113,0.591,0.686,-8.25,119.924,sad
6hrgeEo1WQOHVeF8QMv68S,0.0335,0.573,0,4,0.034,0.544,0.63,-7.523,120.064,sad
0bXGN9NcmezC64rItLPlec,0.048,0.0,0,4,0.782,0.696,0.29,-12.138,116.899,sad
4R53nQRqHEufRHKsuNkd7Q,0.0338,0.000598,9,3,0.586,0.522,0.292,-11.51,106.367,sad
0zzb8c6v6fIFwSoKT2ZV7A,0.0395,0.0,1,4,0.265,0.69,0.383,-8.78,143.959,sad
6QPKYGnAW9QozVz2dSWqRg,0.028,0.0,9,4,0.893,0.554,0.321,-8.251,135.047,sad
6GmUVqe73u5YRfUUynZK6I,0.0688,0.0,7,4,0.365,0.479,0.545,-7.346,74.897,sad
7LVHVU3tWfcxj5aiPFEW4Q,0.0338,0.00195,3,4,0.163,0.209,0.418,-8.74,138.265,sad
2LTl1pU074hnzAdy0SpHAb,0.024,1.67e-05,5,4,0.728,0.572,0.417,-7.991,146.415,sad
7xpraKSakDJ6WWgjQEtvgT,0.0253,0.0,1,4,0.0843,0.512,0.559,-5.498,85.017,sad
2PwXOevGUSkU8qaYZjgLq2,0.0443,0.15,0,3,0.172,0.209,0.412,-9.733,86.26,sad
5WLtenwEwifJHYTUw514RH,0.036,5.65e-06,5,4,0.489,0.679,0.495,-5.842,81.996,sad
4aBi3ZJdrtLYKiMCKVvvht,0.034,0.352,9,4,0.885,0.264,0.128,-15.443,148.499,sad
1qDrWA6lyx8cLECdZE7TV7,0.0359,0.000113,0,4,0.542,0.862,0.515,-6.927,129.055,sad
1XSuGvrfOylZlU76MeE5EC,0.0731,0.0,0,4,0.863,0.822,0.0703,-16.029,89.92,sad
3nnG7AM9QopHVPEuLX3Khk,0.0288,1.65e-05,1,4,0.818,0.546,0.311,-10.396,147.464,sad
5LYQSNHZxEA880URXFHg6h,0.0582,0.00484,0,4,0.588,0.499,0.676,-8.618,99.979,sad
0bJfgUyjfPJYqRgUxb12Eh,0.0314,1.03e-05,0,4,0.938,0.511,0.178,-11.919,74.995,sad
3Y6ILqXqCBNwBTxVda8Z68,0.029,0.0,0,4,0.557,0.471,0.396,-7.288,123.446,sad
0or0gNaKAXYYCsOrpvRzAu,0.111,0.0,10,4,0.923,0.534,0.218,-11.16,76.715,sad
3ZrpYrx9TlulkmWVz4t9Tc,0.263,0.0106,1,4,0.0316,0.418,0.448,-10.975,188.623,sad
0QZ5yyl6B6utIWkxeBDxQN,0.0449,0.262,2,3,0.968,0.441,0.379,-9.545,174.118,sad
6K8VQ84MqhsoakN5MjrnVR,0.052,2.18e-05,0,4,0.219,0.562,0.437,-10.229,124.852,sad
4xyNG8vZR3g8FnphVkbjRo,0.0345,0.00314,10,4,0.492,0.325,0.377,-10.911,98.87,sad
7eElVgPcxDqmgGrSwVFI74,0.181,0.00411,6,4,0.173,0.796,0.467,-10.369,107.901,sad
3ArYVrRb0lDBLzuJJqIXzC,0.0468,0.0,6,4,0.928,0.388,0.372,-5.72,89.701,sad
1almCHdsfikRPfVB9VrEdT,0.0323,0.0,0,4,0.746,0.5,0.292,-8.554,145.879,sad
6ny7kbH529rZfHp4UFVDiP,0.0321,0.000242,5,4,0.832,0.45,0.41,-8.354,122.913,sad
1yhYLxe9JYxdm8FtS38hIK,0.043,0.000412,9,4,0.133,0.52,0.527,-7.603,130.047,sad
77h3UDsxdkoPGOSHLbwFTW,0.0612,0.0,7,4,0.784,0.651,0.37,-9.707,74.748,sad
7fkXzzIVo98CgjOkpd9H0V,0.0519,4.56e-06,3,4,0.956,0.447,0.206,-11.75,66.734,sad
7vRriwrloYVaoAe3a9wJHe,0.3,0.0,6,4,0.687,0.492,0.275,-13.4,92.6,sad
02WacdrRpm4zlP8H7X6bnQ,0.0332,1.92e-05,1,4,0.851,0.608,0.174,-8.796,112.175,sad
0AOEb0Hd4OZyEq41iLhyhn,0.0302,0.00295,11,4,0.753,0.615,0.328,-9.339,100.047,sad
7B1rQSwng82S0DOtqqSNMq,0.0405,0.00152,9,4,0.0739,0.347,0.552,-8.241,85.024,sad
4SlGszCL8Kxamm9ngmA1tJ,0.047,0.0,0,4,0.78,0.55,0.348,-10.682,65.973,sad
4sh506lJZac1T4o4NqtIuS,0.0847,3.42e-05,1,4,0.142,0.863,0.588,-7.141,117.911,happy
2RP8Svo0pMwZXnVcmOffDw,0.0415,0.0,11,4,0.0232,0.734,0.76,-5.267,122.072,happy
1lr5prHQn7Q766Ix6eGRKK,0.114,0.0,2,4,0.0665,0.789,0.758,-4.957,126.0,happy
3zECQWhwAEydeK9jUTPamo,0.0489,0.0,5,4,0.00552,0.618,0.767,-5.024,124.071,happy
3x63A5hq4vldKE8hWIi1tE,0.039,0.00114,7,4,0.204,0.776,0.692,-6.426,120.0,happy
4ut5G4rgB1ClpMTMfjoIuy,0.0311,0.0,6,4,0.0129,0.414,0.486,-6.431,128.038,happy
625SfHM2FVyyUj3cT8108G,0.0563,0.0,0,4,0.215,0.565,0.645,-5.858,100.064,happy
4HvwyaEt4TD8g9DgM2gRxd,0.0611,0.000583,10,4,0.029,0.603,0.85,-3.731,128.099,happy
4GRYjEZJFqpkhsfEFcT9zl,0.0305,0.175,11,4,0.023,0.712,0.651,-8.005,125.051,happy
0lxchyzTYEDcZiwf0EiswB,0.0669,3.35e-06,5,4,0.053,0.56,0.845,-3.148,122.941,happy
5gFRycirBfOimkCnBEs6Vb,0.0487,2.27e-06,9,4,0.0539,0.847,0.839,-4.482,120.02,happy
3bhLTTSb0akz4N7KkL88cM,0.0422,0.00335,0,4,0.143,0.732,0.783,-4.439,122.991,happy
0AR1NRcYkm2vhostE502BU,0.14,0.275,7,4,0.0666,0.556,0.684,-8.183,123.903,happy
2mSIu1ZPo22Ihx3EwS4E6h,0.0488,0.0,0,4,0.0688,0.6,0.754,-4.204,128.044,happy
01CYwciePy6LiwWDsDZQUo,0.0276,0.0101,7,4,0.547,0.63,0.715,-4.215,119.919,happy
4h7RjNZEkFzgBeeoVyUsr2,0.0631,6.22e-06,7,4,0.00129,0.663,0.754,-5.823,122.971,happy
0Hb80Q5aYlmU7SikJBmt5L,0.104,0.0,6,4,0.248,0.729,0.697,-5.455,124.116,happy
7qZOnik9K8Mv987ccBjwwj,0.0377,0.000443,8,4,0.0272,0.727,0.912,-3.594,126.023,happy
5MoEcYsnYrRYjueCJTlWL4,0.0436,7.91e-05,0,4,0.0446,0.634,0.884,-2.969,122.949,happy
0DKen77OXbPxnoPwH2MH63,0.114,0.0,8,4,0.121,0.531,0.863,-4.082,120.055,happy
4075Z4clXAMrtiKSZxBwcn,0.0505,0.000956,6,4,0.00712,0.876,0.598,-5.288,119.988,happy
1g48BGyhn4C8TSm5OMiD3I,0.0556,0.0614,1,4,0.0323,0.786,0.777,-4.529,126.008,happy
1jGdHwRAkDazcfAXk047EG,0.0428,0.00236,11,4,0.249,0.772,0.685,-6.062,124.042,happy
7IWTIkiWGWNQyYfOLdMrGD,0.0398,0.0,4,4,0.0156,0.594,0.722,-5.751,127.877,happy
0v3BMLcwUmAwyqJaf5997o,0.0975,0.0,6,4,0.0348,0.732,0.922,-1.829,120.033,happy
4UojIRsCQxirczxilfT1dy,0.058,0.703,10,4,0.000191,0.66,0.951,-3.366,125.017,happy
4BM4ml3TgBFALLaCaJtVhi,0.107,1.49e-05,0,4,0.00719,0.732,0.734,-6.423,123.033,happy
6iwp5MfuzrhioaikN7ySnh,0.0778,0.0225,9,4,0.277,0.715,0.873,-4.879,126.041,happy
5fBDbznXd9Xy1Q8AHsnp3b,0.0414,0.0839,0,4,0.0123,0.695,0.946,-3.665,123.014,happy
2ruNRdooadssHTD6v4xESP,0.0427,0.000795,9,4,0.0197,0.757,0.841,-2.557,127.002,happy
15q3tvurSaJtht2iFBTiz2,0.098,0.00608,1,4,0.00397,0.807,0.748,-5.094,124.055,happy
6flP4UZGozZGQk8rpE09g4,0.116,0.0,6,4,0.14,0.763,0.926,-2.907,118.934,happy
40xLrjniJVkxuWbka7KavC,0.047,4.81e-05,0,4,0.0534,0.732,0.785,-5.081,121.987,happy
