song_id,speechiness,instrumentalness,key,time signature,acousticness,danceability,energy,loudness,tempo,genre
47rNYq9IUveetu35c65xTw,0.0424,0.0,9,4,0.85,0.609,0.489,-6.001,115.902,calm
6zmANU5l4qCHQrI5cZhSS2,0.0393,9.33e-05,1,4,0.0998,0.436,0.466,-6.808,71.984,calm
25fcj6d2W1l8DQL11Czdzb,0.0365,0.00021,0,4,0.779,0.354,0.206,-11.799,139.056,calm
3HAgxyWGeJtIVabS2mTREt,0.0364,0.0146,4,4,0.766,0.571,0.399,-11.919,141.922,calm
7kqnoZSZUifYDyR5jzJN6v,0.0308,0.0,0,4,0.834,0.488,0.31,-10.673,138.893,calm
6Fha6tXHkL3r9m9nNqQG8p,0.0308,0.000307,11,4,0.312,0.388,0.66,-7.372,143.554,calm
5esPpmrM2AsyDVgOKzWQwU,0.106,0.0,6,4,0.229,0.58,0.687,-5.4,76.014,calm
1vG6jMgSoqT3zG9tuDrL2E,0.0319,0.00652,11,4,0.211,0.426,0.662,-6.158,78.247,calm
6H9Bc39zoXOUhzl5QJb3KQ,0.025,0.0219,0,4,0.853,0.598,0.343,-11.04,103.984,calm
1NCAKlp1bFHYbSSDQxfbJ1,0.0435,0.18,11,4,0.813,0.513,0.662,-12.787,101.275,calm
2Sqv9Ne6ibOZsKxY7o0t6t,0.0324,0.0,1,4,0.845,0.471,0.273,-10.072,138.683,calm
359lSGQwvAM3aZA5UNwqiQ,0.0396,0.0,11,4,0.913,0.679,0.321,-8.403,117.622,calm
6qUcJCdjOi2OtSMBSvR3Vb,0.0254,0.00831,4,4,0.391,0.352,0.414,-6.6,60.042,calm
58h15p2z6LMURhFn3G18a4,0.0441,0.00519,10,4,0.631,0.445,0.304,-12.504,120.631,calm
5MMZJtHOiH1RmQSSe3DJdg,0.0344,0.0,7,4,0.249,0.389,0.431,-8.061,142.14,calm
4JKHACLkotsxdKNF9vJYOS,0.0397,0.0018,7,4,0.929,0.579,0.415,-11.599,102.713,calm
4fbvXwMTXPWaFyaMWUm9CR,0.0302,0.303,1,4,0.943,0.375,0.304,-14.52,147.989,calm
0szmjOw9XbtbQYWz0GvXSp,0.0337,0.0699,6,4,0.344,0.517,0.622,-9.135,96.964,calm
1g2eirb8uaYn54iEYZl3CS,0.0292,0.708,8,3,0.841,0.279,0.252,-11.106,154.373,calm
1WwAqeweh8B5WVO041pRFf,0.0357,0.00118,11,4,0.417,0.472,0.57,-7.569,131.988,calm
1GIBQJItFW5tFPrilr6M6o,0.0361,4.59e-06,11,3,0.822,0.499,0.229,-9.642,178.461,calm
7d0XkI4iJ32nxeFAHFXbLQ,0.0314,0.00814,9,4,0.647,0.521,0.22,-10.202,104.03,calm
23Zlb66N7xcIWbpt2C1bsi,0.0281,0.0565,6,4,0.775,0.662,0.384,-12.634,128.992,calm
6itWAD2WxmAVQgWuk85yXx,0.0459,0.0628,0,4,0.808,0.529,0.0964,-22.052,151.286,calm
5kCAUVS30fqaQXcI1j4nIe,0.0366,0.0788,5,4,0.858,0.613,0.441,-12.808,105.83,calm
7CeJuYHjC7wmtwMWBDKcvV,0.0408,3.32e-05,0,4,0.31,0.493,0.533,-7.406,169.834,calm
1AEYT6VxrxXPMoQUxsY0E4,0.117,2.78e-06,4,4,0.000172,0.492,0.896,-5.819,184.981,angry
3K4HG9evC7dg3N0R9cYqk4,0.0491,1.32e-06,9,4,0.0014,0.492,0.969,-4.419,95.136,angry
60rHc4AkLlP4XVSATvBb6K,0.0589,1.11e-05,0,4,0.009,0.469,0.969,-2.219,164.042,angry
0JKY13K1Io2aqXJb96UyzX,0.125,4.97e-06,11,4,0.00682,0.456,0.891,-4.062,170.019,angry
4ImIJRZNJhNQLLdUFSYJoS,0.056,1.19e-05,10,4,0.000319,0.649,0.896,-2.704,90.009,angry
0LTrQu9J8Y90rbwkLcQUa5,0.205,3.84e-06,7,4,4.78e-05,0.443,0.993,-3.365,193.939,angry
7AL9fI4HTfOnGCJoKsFM7p,0.145,0.000456,3,4,1.08e-05,0.496,0.996,-4.404,130.005,angry
0txNMLvjiya4rM3IEfRfe6,0.104,0.0,11,4,0.000273,0.559,0.989,-4.861,94.987,angry
2446QBaIDdm92kpIfGtOwi,0.152,1.01e-06,6,4,0.000146,0.475,0.996,-3.689,175.941,angry
2TFjAFqgQ5VxtbSDJJaDLt,0.117,0.0,11,3,0.000134,0.464,0.968,-4.036,147.996,angry
1oSddUpFc84CAPblLLxHQp,0.0351,2.49e-05,0,4,0.000134,0.545,0.847,-4.317,114.997,angry
65XY6Cx0263J5BPnY8mPyE,0.113,0.000525,11,4,0.000456,0.519,0.892,-5.285,174.027,angry
5omWAB5iNMHvbAfBSzkdu8,0.0469,0.00127,6,4,0.0116,0.488,0.842,-5.926,90.003,angry
5vJKDteoDcK1uId4IUJSmQ,0.0792,0.0,6,4,0.00023,0.465,0.96,-3.888,132.014,angry
3pxCXv0NACYfYnLjFcQW5D,0.0338,0.0,7,4,0.000821,0.512,0.865,-4.146,138.017,angry
7kwsODkk97z4tn9pW3GkaK,0.0481,1.21e-06,2,4,0.000247,0.366,0.835,-4.377,195.923,angry
5uuXtfqM7Wp3idCxyHeOll,0.302,0.0,6,4,0.0037,0.421,0.978,-4.004,196.921,angry
0LIXhhI6kDqYyLcAb7Trrj,0.072,9.07e-05,0,4,1e-05,0.31,0.951,-2.727,163.905,angry
4UEo1b0wWrtHMC8bVqPiH8,0.0787,9.98e-05,2,4,0.000318,0.554,0.949,-4.928,129.984,angry
6ZxrUCaynLgKSUudACOTwj,0.0368,0.0,2,4,6.06e-05,0.451,0.815,-5.55,147.974,angry
2m3aDOFjLEMSfcNcqVAp0Z,0.0647,0.000523,8,4,8.52e-05,0.51,0.863,-5.474,106.995,angry
35azPV9oXkRXOPwl4tPVDc,0.0831,0.0,9,4,0.0632,0.366,0.971,-2.851,149.972,angry
7a0Zmtupswb9Faai3Yj3Eo,0.19,0.000168,7,4,8.64e-05,0.354,0.985,-3.034,194.991,angry
3fPI5C0WewzdPeN8l41HdK,0.116,0.0,1,4,0.000131,0.418,0.972,-4.377,170.731,angry
764wYq2eofYk0r1SBKjroh,0.0609,0.000225,2,4,0.00039,0.309,0.919,-3.131,103.891,angry
6CemVo8DcF8iP1CUt7osNX,0.164,0.0,9,4,1.04e-05,0.368,0.936,-3.999,178.731,angry
6MLs4h1Gqfe9J5wj6v1Bq0,0.047,0.0,11,4,0.0254,0.604,0.883,-3.821,90.001,angry
5gc7XfphkR2jispckOKwiM,0.219,0.0,5,4,0.0195,0.621,0.979,-2.725,129.946,angry
76AYOdnKWcSLviCsKDXyS1,0.287,2.32e-06,9,4,0.000165,0.448,0.982,-3.971,131.895,angry
0QB98b4YFxtW4NQ9narHQM,0.148,0.000279,11,4,0.00122,0.552,0.987,-3.642,89.986,angry
3t2qBaRl3KHowqAnVhjTFf,0.0411,0.00569,5,4,0.0023,0.517,0.962,-2.5,122.045,angry
228ykahUJx0Cb31NW7hUdN,0.0377,0.682,2,4,8.78e-06,0.43,0.867,-5.214,141.924,angry
0lK28aJxbjVdBBz7qkzgG9,0.0319,0.0,4,4,0.153,0.235,0.584,-5.969,104.908,angry
1w7CYRHXbGOkpjnjuMcqRh,0.0868,0.0,2,4,0.000528,0.414,0.959,-3.245,166.006,angry
7x8dCjCr0x6x2lXKujYD34,0.0431,0.0,9,4,0.000917,0.433,0.959,-4.04,172.984,angry
1Vej0qeQ3ioKwpI6FUbRv1,0.113,0.0,9,4,0.00022,0.524,0.939,-3.994,150.184,angry
57BrRMwf9LrcmuOsyGilwr,0.0337,3.2e-06,4,4,0.0466,0.58,0.702,-5.565,105.076,angry
60a0Rd6pjrkxjPbaKzXjfq,0.0498,0.0,3,4,0.0103,0.542,0.853,-6.407,105.256,angry
1gAaRSN57UYVRI4eWRyAvP,0.0425,0.0,6,4,0.000391,0.484,0.913,-4.305,103.103,angry
32fEW4jygJjjnZh2iBa5IR,0.034,0.0,3,4,0.0624,0.545,0.861,-4.819,105.017,angry
