song_id,speechiness,instrumentalness,key,time signature,acousticness,danceability,energy,loudness,tempo,genre
0uCdi39iBbemx1JmkaATNE,0.0325,0.699,0,4,0.0429,0.543,0.636,-7.372,120.045,sad
47W8cXL6JXzn9WJojjAtId,0.168,0.0,6,4,0.746,0.521,0.271,-12.782,92.239,sad
5uCax9HTNlzGybIStD3vDh,0.059,0.0,10,4,0.695,0.358,0.557,-7.398,85.043,sad
5dTJMpqiELczVuHJP3OAEu,0.0297,0.0,9,4,0.711,0.69,0.407,-7.739,111.916,sad
0tV8pOpiNsKqUys0ilUcXz,0.0368,0.0,1,4,0.805,0.398,0.316,-7.031,118.582,sad
322NTyeysWDwlzCmATWb2z,0.0357,1.4e-05,1,4,0.481,0.47,0.341,-14.106,141.388,sad
2xQClfIv85Bn7wJoECK3lN,0.0375,3.73e-05,2,4,0.165,0.35,0.615,-8.801,116.834,sad
0PxPpLqp2HaKDlfeM1sWjO,0.0304,0.0,1,4,0.0822,0.352,0.567,-5.514,169.629,sad
38xWaVFKaxZlMFvzNff2aW,0.0244,0.0,10,4,0.173,0.63,0.698,-4.51,94.023,sad
5fVZC9GiM4e8vu99W0Xf6J,0.0379,0.0,10,4,0.269,0.64,0.743,-4.08,122.035,sad
2PwXOevGUSkU8qaYZjgLq2,0.0443,0.15,0,3,0.172,0.209,0.412,-9.733,86.26,sad
5tBlpEpnwJFw0JQnfi6eb6,0.0299,9.08e-05,8,4,0.545,0.447,0.236,-11.564,95.268,sad
2l8D5dB5pXywjeIeWw16E7,0.027,0.0,2,4,0.0022,0.662,0.67,-5.504,119.977,sad
3wX3zl0LPavrdx7zd2Xn00,0.0323,0.0,7,4,0.795,0.781,0.259,-9.204,111.9,sad
41WTP0gosjYD74B06uS2tL,0.0345,0.0,0,4,0.905,0.531,0.347,-7.044,114.441,sad
0y1QJc3SJVPKJ1OvFmFqe6,0.117,0.000333,10,4,0.579,0.489,0.505,-8.022,163.255,sad
6ZeWGilCAL4sgnPWlCYyaj,0.049,7.49e-05,10,4,0.979,0.586,0.237,-11.676,126.751,sad
5JDcQAztvZTIkrWoZihgvC,0.038,0.0,5,3,0.785,0.447,0.393,-8.65,73.139,sad
5tajmvqHF6YW1iiUFzKpCB,0.0343,0.0,6,4,0.787,0.313,0.429,-7.415,77.27,sad
5CRVwXGikmqzoRO6q7FeAg,0.0262,0.0,5,4,0.781,0.565,0.245,-9.132,75.055,sad
5WLSak7DN3LY1K71oWYuoN,0.0322,1.47e-06,7,3,0.715,0.455,0.284,-10.774,133.936,sad
5hwh37sTi84MVhCBMWzhGE,0.0529,0.0,8,4,0.928,0.477,0.242,-9.162,43.509,sad
30Co9eN7JHPf1i2wEyVSMJ,0.0486,5.13e-05,0,4,0.987,0.425,0.156,-14.365,166.877,sad
3JOVTQ5h8HGFnDdp4VT3MP,0.0374,0.000366,3,4,0.976,0.345,0.0581,-17.217,174.117,sad
6ZfXA2xakAvphXOSOJ3u1W,0.0282,0.0,6,3,0.142,0.459,0.545,-4.874,137.941,sad
3NlLrNeMGEtzVJITQE2LJI,0.0379,4.2e-06,7,4,0.564,0.67,0.444,-11.372,106.079,sad
2mirluHnTLWWnoZCf6RQde,0.0529,0.0,1,4,0.84,0.481,0.257,-10.683,141.36,sad
